Number,Gender,GivenName,Surname,EmailAddress,GUID
1,male,Joffrey,Blaak,JoffreyBlaak@pxl.be,dda47025-ee76-4751-88bb-19c9a84fd6f5
2,male,Thommy,Dogger,ThommyDogger@student.pxl.be,c26ebb32-8757-4722-9d46-427336dccd50
3,female,Elham,"van Vught",ElhamvanVught@student.pxl.be,e3c3bd92-0b75-43d0-ad62-7adbe406a90c
4,female,Imran,Rijnders,ImranRijnders@student.pxl.be,5efdf227-55db-4f7a-95d9-8a869f34aefc
5,male,Stein,Douma,SteinDouma@student.pxl.be,825d2cfc-9238-444a-aa61-77e309672f82
6,male,Thimo,Speksnijder,ThimoSpeksnijder@student.pxl.be,84d12c5b-454a-43d8-85f7-f76e70b25922
7,male,Tseard,Rietveld,TseardRietveld@student.pxl.be,0ddfd5c5-9156-4f32-8830-11bde759494d
8,male,Hanan,"van Hagen",HananvanHagen@student.pxl.be,af907dae-120f-45b9-866c-58b9cd6a7df8
9,male,Yaw,Siebert,YawSiebert@student.pxl.be,a901252f-aaf7-4a3e-8d5e-5a8fd5254193
10,male,Ronin,"van der Pol",RoninvanderPol@student.pxl.be,4838a900-b2bf-4973-bdd3-d150b0b3029b
11,male,Shaun,Ruitenberg,ShaunRuitenberg@student.pxl.be,77080c29-68c3-4bba-b5fb-56c0c351728d
12,male,Moreno,Tijsterman,MorenoTijsterman@student.pxl.be,c600368a-5a95-4a84-a30f-0534ab7d38de
13,male,Kiet,Daems,KietDaems@student.pxl.be,f05282bf-3684-4069-9fc0-8f81694a441d
14,male,Zakariya,Goudzwaard,ZakariyaGoudzwaard@pxl.be,d2d0732f-b8c3-47c0-a109-af6d689702a3
15,male,Jess,"van der Pal",JessvanderPal@student.pxl.be,a1f3d4ca-24ca-41c8-9879-244a5ad6988d
16,male,Radouane,Kaper,RadouaneKaper@student.pxl.be,4b52dbc9-2429-4f34-91ba-7ffd99c2541c
17,male,Raphaël,Haverhoek,RaphaelHaverhoek@student.pxl.be,ddffc224-3a1a-4f46-8c51-5099af2049ac
18,female,Catharine,Abel,CatharineAbel@student.pxl.be,a3b8adbf-66a6-4b62-943a-be654f046fc6
19,male,Tiddo,Nell,TiddoNell@student.pxl.be,c621c97a-cb43-4db4-94dd-578ff386157d
20,female,Ezgi,Overweel,EzgiOverweel@student.pxl.be,5832a0bc-af5a-4a8c-9b8e-093765373e2f
21,male,Hanne,Geus,HanneGeus@student.pxl.be,01b5bbde-5cbb-448c-a3b4-c2cac76d72aa
22,male,Raymond,"ter Harmsel",RaymondterHarmsel@student.pxl.be,699b740f-23b1-4b5c-a4bd-0c0ac0478239
23,female,Amy,Vaandering,AmyVaandering@student.pxl.be,73cec965-df8f-4bd5-afa3-51b96b47b4cb
24,male,Ching,Burm,ChingBurm@student.pxl.be,86225c13-f38f-4095-ad56-e901968f1714
25,male,Aymane,Kooijman,AymaneKooijman@student.pxl.be,34e49142-aa58-4577-826b-4a239818fb54
26,male,Angus,Vijfhuizen,AngusVijfhuizen@student.pxl.be,0db160b5-578b-42d9-b58f-895cb65c81e3
27,male,Joannes,Burhenne,JoannesBurhenne@student.pxl.be,d912d6fb-5e13-44e4-8a13-316a17d03744
28,male,Emircan,Korkmaz,EmircanKorkmaz@student.pxl.be,bd6d6f71-9db8-43a7-8e71-bd7285ca0837
29,male,Yin,"den Drijver",YindenDrijver@student.pxl.be,3421c5ac-b9b3-48c8-81f0-c150e0080503
30,male,Cliff,Versloot,CliffVersloot@student.pxl.be,119d1ccf-53fa-44f9-890e-ebb135c36e50
31,male,Leonardo,"van Gemeren",LeonardovanGemeren@student.pxl.be,01bcaff0-97f8-40ba-be66-bc88fcd0202d
32,male,Dillon,Lee,DillonLee@student.pxl.be,51d11d2f-7cbc-4ed9-b4fc-a34fefdbbffd
33,male,Sébastien,"van Veggel",SebastienvanVeggel@student.pxl.be,93387e2d-b41c-41e7-92f8-32d63e006dfc
34,male,Shannon,Erkelens,ShannonErkelens@student.pxl.be,140502ba-e8d0-405b-84a9-71a0d0d736ac
35,male,Abderrahim,"van Rijen",AbderrahimvanRijen@student.pxl.be,0f7b3683-4b2a-45b4-8816-4f575f281bd5
